Class                               Train      Valid
-------------------------------------------------------
Trametes versicolor                  1722        191
Fomitopsis pinicola                  1569        174
Hypholoma fasciculare                1472        164
Pluteus cervinus                     1228        137
Fomes fomentarius                    1185        132
Bjerkandera adusta                   1171        130
Auricularia auricula-judae           1143        127
Coprinellus micaceus                 1130        126
Stereum hirsutum                     1102        123
Mycena galericulata                  1099        122
Plicaturopsis crispa                 1050        117
Cuphophyllus virgineus               1031        115
Hygrocybe miniata                    1005        112
Clitocybe nebularis                  1003        112
Ganoderma applanatum                  996        111
Daedaleopsis confragosa               958        107
Pleurotus ostreatus                   931        103
Tremella mesenterica                  930        103
Gymnopilus penetrans                  890         99
Meripilus giganteus                   868         97
Armillaria lutea                      867         96
Amanita muscaria                      863         96
Tubaria furfuracea                    858         95
Leccinum scabrum                      847         94
Neoboletus luridiformis               844         94
Imleria badia                         832         93
Lycoperdon perlatum                   830         92
Phaeolepiota aurea                    828         93
Trametes hirsuta                      825         92
Trametes gibbosa                      814         91
Boletus edulis                        811         90
Pseudocraterellus undulatus           808         89
Byssomerulius corium                  801         89
Schizophyllum commune                 792         88
Kuehneromyces mutabilis               787         88
Xylaria hypoxylon                     769         86
Daedalea quercina                     769         85
Laccaria amethystina                  763         85
Xerocomellus chrysenteron             761         85
Coprinus comatus                      760         84
Phlebia tremellosa                    751         84
Lepista nuda                          747         83
Parmelia sulcata                      747         83
Fomitopsis betulina                   742         82
Laccaria laccata                      739         82
Cerioporus varius                     727         81
Hygrocybe ceracea                     725         81
Phlebia radiata                       719         80
Psathyrella candolleana               714         79
Amanita rubescens                     713         79
Chondrostereum purpureum              702         78
Cerioporus squamosus                  700         78
Hymenopellis radicata                 698         78
Xanthoria parietina                   684         76
Lentinus brumalis                     683         76
Xerocomellus pruinatus                682         76
Hygrocybe conica                      670         75
Exidia nigricans                      665         74
Pholiota squarrosa                    663         74
Gliophorus psittacinus                654         72
Phaeolus schweinitzii                 652         72
Mucidula mucida                       648         72
Paxillus involutus                    644         72
Fuscoporia ferrea                     642         71
Russula ochroleuca                    638         71
Tricholoma scalpturatum               638         71
Cylindrobasidium evolvens             636         71
Phellinus pomaceus                    635         71
Paralepista flaccida                  630         70
Gloeophyllum sepiarium                620         69
Ramaria stricta                       616         69
Suillellus luridus                    615         68
Laetiporus sulphureus                 613         68
Tricholoma terreum                    611         68
Cantharellus cibarius                 605         68
Russula adusta                        604         68
Tricholomopsis rutilans               602         67
Dacrymyces stillatus                  594         66
Mycetinis alliaceus                   594         66
Lacrymaria lacrymabunda               593         66
Ganoderma pfeifferi                   592         66
Scleroderma citrinum                  589         66
Clitopilus prunulus                   588         65
Panellus stipticus                    585         65
Hygrocybe coccinea                    581         65
Coprinopsis picacea                   575         64
Amanita fulva                         575         64
Cuphophyllus pratensis                562         63
Cystoderma amianthinum                559         62
Chlorophyllum olivieri                558         62
Hygrophoropsis aurantiaca             558         62
Coprinellus disseminatus              551         61
Phallus impudicus                     551         61
Inocybe geophylla                     549         62
Hypoxylon fragiforme                  542         60
Mycena rosea                          538         60
Bolbitius titubans                    538         60
Exidia glandulosa                     535         60
Xylodon radula                        535         59
Jackrogersella multiformis            533         59
Pseudoclitocybe cyathiformis          531         59
Sarcoscypha austriaca                 525         58
Flammulina velutipes                  520         58
Boletus ferrugineus                   517         57
Armillaria ostoyae                    517         58
Ascocoryne sarcoides                  516         57
Ischnoderma resinosum                 516         57
Stropharia cyanea                     514         57
Heterobasidion annosum                514         57
Amanita excelsa                       512         57
Lycogala epidendrum                   510         57
Mycena crocata                        506         56
Mycena haematopus                     503         56
Clavulina rugosa                      501         56
Crepidotus mollis                     499         55
Schizopora paradoxa                   498         55
Hygrocybe acutoconica                 495         55
Cerioporus mollis                     491         55
Lactarius blennius                    490         55
Xanthoporia radiata                   484         54
Clavulina coralloides                 483         54
Galerina marginata                    483         54
Panellus serotinus                    482         54
Peniophora incarnata                  481         53
Agaricus campestris                   480         53
Fistulina hepatica                    472         53
Stereum subtomentosum                 472         52
Geastrum michelianum                  470         52
Stereum rugosum                       468         52
Psathyrella piluliformis              467         52
Marasmius oreades                     462         51
Coprinopsis atramentaria              460         51
Craterellus lutescens                 460         51
Skeletocutis nemoralis                459         51
Rickenella fibula                     451         50
Clitocybe fragrans                    450         50
Calocera viscosa                      448         50
Laccaria proxima                      448         50
Cladonia chlorophaea                  445         49
Calocera cornea                       444         49
Mycena epipterygia                    443         49
Lepiota cristata                      437         49
Ischnoderma benzoinum                 437         49
Agaricus arvensis                     437         49
Trametes ochracea                     436         49
Evernia prunastri                     436         48
Reticularia lycoperdon                435         48
Hyphodontia quercina                  429         48
Polyporus tuberaster                  426         47
Macrolepiota procera                  425         47
Postia caesia                         423         47
Hymenochaete rubiginosa               423         47
Lactarius quietus                     423         47
Hygrocybe chlorophana                 420         47
Russula cyanoxantha                   420         47
Megacollybia platyphylla              420         47
Volvopluteus gloiocephalus            414         46
Gymnopus dryophilus                   412         46
Caloboletus radicans                  409         46
Gymnopus confluens                    409         45
Tapinella atrotomentosa               406         45
Agaricus impudicus                    405         45
Mycena pura                           405         45
Phloeomana speirea                    404         45
Protostropharia semiglobata           401         45
Suillus luteus                        401         45
Agaricus xanthodermus                 401         45
Physcia tenella                       399         44
Lycoperdon nigrescens                 397         44
Exidia thuretiana                     395         44
Tricholoma sulphureum                 394         44
Bjerkandera fumosa                    393         44
Ramalina fastigiata                   392         44
Lepista personata                     391         43
Lenzites betulina                     389         43
Coprinopsis lagopus                   389         43
Agrocybe praecox                      385         43
