Class                               Train        Val       Test
-----------------------------------------------------------------
abyssinian                             80         20         98
american_bulldog                       80         20        100
american_pit_bull_terrier              80         20        100
basset_hound                           80         20        100
beagle                                 80         20        100
bengal                                 80         20        100
birman                                 80         20        100
boxer                                  80         20         99
british_shorthair                      80         20        100
chihuahua                              80         20        100
english_setter                         80         20        100
german_shorthaired                     80         20        100
great_pyrenees                         80         20        100
havanese                               80         20        100
japanese_chin                          80         20        100
keeshond                               80         20         99
leonberger                             80         20        100
maine_coon                             80         20        100
miniature_pinscher                     80         20        100
persian                                80         20        100
pomeranian                             80         20        100
pug                                    80         20        100
ragdoll                                80         20        100
russian_blue                           80         20        100
saint_bernard                          80         20        100
samoyed                                80         20        100
scottish_terrier                       80         20         99
shiba_inu                              80         20        100
sphynx                                 80         20        100
staffordshire_bull_terrier             80         20         89
wheaten_terrier                        80         20        100
yorkshire_terrier                      80         20        100
siamese                                79         20        100
bombay                                 77         19         88
english_cocker_spaniel                 77         19        100
newfoundland                           77         19        100
egyptian_mau                           74         19         97
